// todo : cache this sql...
//full joins are not supported.. yet!
//kinda ugly, but needed for collections with a "." node mapping
//just a performance opt!
//we *could* regerate this inside each called method!
// --Commented out by Inspection (12/11/04 10:56 AM): int getWarningCount();
// Handle actions
//noop
// Initial load from JBC
"//	private final List extendsQueue;"
// todo : temporary //      needed because currently persister is the one that //      creates and renders the join fragments for inheritence //      hierarchies...
//if it is a property of an embedded component, invoke on the "identifier"
// have the entity entry perform post-update processing, passing it the // update state and the new version (if one).
//TODO: really bad, evil hack to fix!!!
// we need to writeObject() on this since interceptor is user defined
// todo : potentially look at optimizing these two arrays
//get a snapshot
// finally, what it's all about...
//null caused some problems
//NOTE SPECIAL CASE: // one-to-one constrained=false cannot be proxied, // so default to join and non-lazy
// updates ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
//SQL statements
// we will need to create new entries
// NOTE: we need to do the wrap here even if its not "dirty", // because collections need wrapping but changes to _them_ // don't dirty the container. Also, for versioned data, we // need to wrap before calling searchForDirtyCollections
"/**	 * Set a custom entity resolver. This entity resolver must be	 * set before addXXX(misc) call.	 * Default value is {@link org.hibernate.util.DTDEntityResolver}	 *	 * @param entityResolver entity resolver to use	 */"
// this class has no proxies (so do a shortcut)
//strip leading ','
//insert all the new entries
// NOTE : addDuplicateAlias() already performs nullness checks on the alias.
// update removed rows fks to null
/* trim done to workaround stupid oracle bug that cant handle whitespaces before a { in a sp */
//property-refs for associations defined on a //component are not supported, so no need to slice
//TODO: get all properties, not just the fetched ones!
//if the collection is dereferenced, remove from the session cache //iter.remove(); //does not work, since the entrySet is not backed by the set
// then dom4j tuplizer, if dom4j representation is available
// hibernate impelemnts cast in Dialect.java
// oracle sql-state code for deadlock
// This handles HHH-354, where there is a strange property name in a where clause. // If the lookahead contains a DOT then something that isn't an IDENT...
// No additional open braces found in the string, append the // rest of the string in its entirty and quit this loop
// SELECT BEFORE UPDATE
//figure out which columns are needed
// need to treat this as if it where optimistic-lock="all" (dirty does *not* make sense); // first we need to locate the "loaded" state // // Note, it potentially could be a proxy, so perform the location the safe way...
// the column doesnt exist at all.
// simple nullability constraint
// if the types report logical equivalence, return true...
// if it was previously unreferenced, we need to flush in order to // get its state into the database in order to execute query
// dynamic filters specifically for many-to-many inside the collection
// saveOrUpdateCopy() operations ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// WARNING: classfile only
// first, lets determine whether to apply cglib or javassist based instrumentation...
// SQLFunction implementation
// collection of <many-to-any/> mappings... // used to circumvent the component-collection check below...
// A container for collections we load up when the owning entity is not // yet loaded ... for now, this is purely transient!
// Object insertions, updates, and deletions have list semantics because // they must happen in the right order so as to respect referential // integrity
// todo : we can actually just determine this from the incoming EntityEntry-s
// we need to step through the rows one row at a time (slow)
//Careful: these methods do not initialize the collection.
// Register the FromElement with the FROM clause, now that we have the names and aliases.
// it is a property reference {foo.bar}
//always do an INSERT, and let it fail by constraint violation
// checkcast
// evict() operations ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// Configure the cache to use our TM
// don't need to check laziness (dirty checking algorithm handles that)
//null owner ok??
// this page intentionally left blank :)
//TODO: make EntityPersister *not* depend on SessionFactoryImplementor //interface, if possible
// This is the legacy behaviour for HQL queries...
// ldc // name of the field
"//	void setShowSqlEnabled(boolean b) { //		showSql = b; //	} // //	void setFormatSqlEnabled(boolean b) { //		formatSql = b; //	}"
// ignore it...
// does not handle arrays (thats ok, cos they can't be lazy) // or newly instantiated collections, so we can do the cast
// ignore this row, the collection is in process of // being loaded somewhere further "up" the stack
//TODO: if object was an uninitialized proxy, this is inefficient, //      resulting in two SQL selects
"//		return getFactory().getSettings().getBytecodeProvider().getProxyFactoryFactory().buildProxyFactory();"
// and the qualifier is not the alias of this criteria //      -> check to see if we belong to some criteria other //          than the one that created us
//if its "id"
// the element has changed
// Second-level / query cache:
//only collections belonging to deleted entities are allowed to be dereferenced in the case of orphan delete
// special shortcut for id properties, skip the join! // this must only occur at the _end_ of a path expression
// Make sure the root node for the region exists and  // has a DataVersion that never complains
// --- Inner classes (moved here from sql-gen.g) ---
// If we have <tt>not-found="ignore"</tt> association mapped to a // formula, we always need to dirty check it, so we can update the // second-level cache
//if the identifier is quoted, remove the quotes
// apend everything up until the next encountered open brace
//if there is no resulting row, return null
// GENERATOR
// FETCH STRATEGY
// reference type
// Snapshots of current database state for entities // that have *not* been loaded
// if it was dirtied by a collection only
/////////////////////////////////////////////////////////////////////// // TODO : look at perhaps caching this...
// already been processed...
// Make sure you log the exception, as it might be swallowed
//keep the behavior consistent even for boundary usages
// TODO: get SQL rendering out of here, create an AST for the join expressions. // Use the SQL generator grammar to generate the SQL text for the index expression.
// cascade-save to many-to-one BEFORE the parent is saved
// not final-static to avoid possible classcast exceptions if using different oracle drivers.
//cfg.setProperty("hibernate.show_sql", "true");
//TODO: code duplication with JoinedSubclassEntityPersister
// aload_1 // load bean
// package protected setters ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// initialize this collection
// not absolutely necessary, but does help with aggressive release
//If the object is already loaded, return the loaded one
// this will throw an error if there's something wrong.
// NOTE : firstRow is zero-based
// this function has a template -> restore output, apply the template and write the result out // TODO: Downcast to avoid using an interface?  Yuck.
// SQL strings
// for DOM4J "collections" only // TODO: it would be better if this was done at the higher level by Printer
// Create an DotNode AST for the path and resolve it.
// empty means no scoping
// deprecated option...
//do the failfast put outside the scope of the JTA txn
//int result = 17; //result = 37 * result + type.hashCode(); //result = 37 * result + ( value==null ? 0 : value.hashCode() ); //return result;
// Interceptor returned null, so do the dirtycheck ourself, if possible
//INITIALIZATION:
// this is called by SessionFactory irregardless; we just disregard here; // could also add a check to SessionFactory to only conditionally call stop
"/*public boolean isNonExistant(EntityKey key) {		return nonExistantEntityKeys.contains(key);	}*/"
// cleanup code ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
//TODO: should orphans really be deleted during lock???
// This check is needed since processing leaves the cursor // after the last physical row for the current logical row; // thus if we are after the last physical row, this might be // caused by either: //      1) scrolling to the last logical row //      2) scrolling past the last logical row // In the latter scenario, the previous logical row // really is the last logical row. // // In all other cases, we should process back two // logical records (the current logic row, plus the // previous logical row).
//TODO: ugly here:
// If this return's alias has not been processed yet, do so b4 further processing of this return
// null sql means that the only lazy properties // are shared PK one-to-one associations which are // handled differently in the Type#nullSafeGet code...
// Tell the destination fromElement to 'includeSubclasses'.
// this is a transient object with existing persistent state not loaded by the session
// Forcefully remove leading ands from where fragments; the grammar will // handle adding them
// don't create a unique key, 'cos some // databases don't like a UK on nullable // columns //getCollectionTable().createUniqueKey( getIdentifier().getConstraintColumns() );
// a many-to-many; // decrement currentDepth here to allow join across the association table // without exceeding MAX_FETCH_DEPTH (i.e. the "currentDepth - 1" bit)
// key is an entity involved with the operation performed by the listener; // value is a flag indicating if the listener explicitly operates on the entity
// The 'from element' that the property is in.
// Needed the "clazz_" check to work around union-subclasses // TODO : is there a way to tell whether a persister is truly discrim-column based inheritence?
// Check the persistence context for an entry relating to this // entity to be merged...
// ResultSet impl (delegated) ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
"//			optimizer = getFactory().getSettings().getBytecodeProvider().getReflectionOptimizer( //					mappedClass, getterNames, setterNames, propTypes //			);"
// hit the database, after checking the session cache for a snapshot
"/*public boolean dropTemporaryTableAfterUse() {		//we have to, because postgres sets current tx		//to rollback only after a failed create table		return true;	}*/"
// collection deletions are a special case since update() can add // deletions of collections not loaded by the session.
"//		 You may still have other ResultSets or update counts left to process here //		 but you can't do it now or the ResultSet you just got will be closed"
// remove initial " and "
// after *all* persisters and named queries are registered
// the name of a class
"/* will check current level if some of them are not null		 * or sublevels if they exist		 */"
/* COLUMN and TABLE should be renamed but it would break the public API */
// Sub-insertions should occur before containing insertion so // Try to do the callback now
// starting index
//needed for SOAP libraries, etc
//else do nothing (don't even reassociate object!)
//test this entity to see if we must query it
// would be great to move all this below here into another method that could also be used // from the new scrolling stuff. // // Would need to change the way the max-row stuff is handled (i.e. behind an interface) so // that I could do the control breaking at the means to know when to stop
//TODO: eventually put this back in, once we think all is fixed //Object otherAlias = columnsUnique.put(qualifiedColumn, columnAlias);
// todo : is there really any reason to kkeep trying if this fails once?
//the following two lines were added to ensure that this.params is not null, which //can happen with two-deep nested subqueries
// iinc 3, 1
// The optional SQL string defined in the where attribute
// ( (Column) ( (SimpleValue) ic.getIndex() ).getColumnIterator().next() // ).setNullable(false);
//ignore whitespace
//do two passes, for collection property-ref!
// TABLENAME
//it was not embedded, so the argument is just an id
// Alias references and identifiers use the same node class.
// cache region is defined by the root-class in the hierarchy...
// Numeric Functions ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// TODO: iteratively get transient entities and retry merge until one of the following conditions: //       1) transientCopyCache.size() == 0 //       2) transientCopyCache.size() is not decreasing and copyCache.size() is not increasing // TODO: find out if retrying can add entities to copyCache (don't think it can...) // For now, just retry once; throw TransientObjectException if there are still any transient entities
//starts with 1, implicitly
// this one only really needed for badly-behaved applications! // (if the TransactionManager has a Sychronization registered, // its a noop) // (actually we do need it for downgrading locks)
// return false here, as most databases do not properly support this construct...
// The standard comparator types are not Serializable but are singletons
// the default is to simply not lazy fetch properties for now...
// moved up from AbstractEntityPersister ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// There is already an existing batch for this type of entity. // Check to see if the latest batch is acceptable.
// Get the first child to be considered.  Sub-classes may do this differently in order to skip nodes that // are not select expressions (e.g. DISTINCT).
// TODO : we may also want to check that the types here map to exactly one column/JDBC-type //      can't think of a situation where arithmetic expression between multi-column mappings //      makes any sense.
// select-range is terminated by declaration of "from"
// merge() operations ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// Otherwise, it's a literal.
//it was a boolean expression
// orphans should not be deleted during merge??
// Handle any filters applied to this collection
// basically just an adapted copy of find(CriteriaImpl)
//cachedState,
// mappings might contain either the "raw" extends name (in the case of // an entity-name mapping) or a FQN (in the case of a POJO mapping).
// Compare the two maps for equality
"//	private final SessionFactoryImplementor sessionFactory;"
// for non-inverse one-to-many, with a not-null fk, add a backref!
// TODO : not so sure this is needed...
// Tell hibernate to use getBytes instead of getBinaryStream
//it does not refer to an alias of a projection, //look for a property
//ie. the entity came in from update()
// first, break down the returns into maps keyed by alias // so that role returns can be more easily resolved to their owners
// DYNAMIC UPDATE
// add another (inner) nested select // add the main query // close off the inner nested select
//null clientLock is remotely possible but will never happen in practice
//" cascade";
/////////////////////////////////////////////////////////////////////// // HACK ALERT !!!!!!!!!!!!!!!!!!!!!!!!!!!! // Attempt to work around "ghost" ImpliedFromElements that occasionally // show up between the actual things being joined.  This consistently // occurs from index nodes (at least against many-to-many).  Not sure // if there are other conditions // // Essentially, look-ahead to the next FromElement that actually // writes something to the SQL
//dontSpace.add("'");
//columns
//TODO: Somehow add the newly created foreign keys to the internal collection
// copy elements into newly empty target collection
// if we reach the end of the string w/o finding the // matching end, that is an exception
// temporary ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// by default we report no support for NOWAIT lock semantics
// is this really necessary?
//disassembled state gets put in a new array (we write to cache by value!)
// the current join represents the join between a many-to-many association table // and its "target" table.  Here we need to apply any additional filters // defined specifically on the many-to-many
// ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ // Pre-flushing section // ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// NOTE : evict() operates locally only (i.e., does not propogate // to any other nodes in the potential cluster).  This is // exactly what is needed when we destroy() here; destroy() is used // as part of the process of shutting down a SessionFactory; thus // these removals should not be propogated
// upgrade the lock if necessary: //lock(result, lockMode);
//opening paren in new Foo ( ... )
//This solution would allow us to eliminate the owner arg to disassemble(), but //what if the collection was null, and then later had elements added? seems unsafe //session.getPersistenceContext().getCollectionEntry( (PersistentCollection) value ).getKey();
// Tell the dot node about the join type.
//lobs cannot be compared
// is it necessary to register %exact since it can only appear in a where clause?
//do nothing - we only need to notify the cache...
//get em on the second pass!
"/**	 * TODO: Check if Mimer SQL cannot handle the way DB2 does	 */"
// watch out for a case where old is still referenced // somewhere in the object graph! (which is a user error)
// the path expression continues after a ]
// hibernate seems to ignore this type...
//problematic for <key-many-to-one>!
// todo : throw exception?  maybe warn if not the same?
//TODO
// note: interface is assumed to already contain HibernateProxy.class
// if the version of a newly instantiated object is not the same // as the version seed value, use that as the unsaved-value
//TODO: remove use of instanceof!
// get the right object from the list ... would it be easier to just call getEntity() ??
// IDENTITY support ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// compare to cached state (ignoring collections unless versioned)
// here assume SQLServer2005 using snapshot isolation, which does not have this problem
//TODO: this needn't exclude subclasses...
// locate the registered function by the given name
// VERSION
"/*rootTableName = persistentClass.getRootTable().getQualifiedName( 				factory.getDialect(), 				factory.getDefaultCatalog(), 				factory.getDefaultSchema() 		);*/"
//throw new IdentifierGenerationException("save associated object first, or disable cascade for inverse association");
// invokeinterface // invoke Enabled.getInterceptFieldCallback()
// Otherwise, this is an ordinary value.
//Sybase fail if we don't do that, sigh...
// SQL Server (at least up through 2005) does not support defining // cascade delete constraints which can circel back to the mutating // table
// The default SQLExceptionConverter for all dialects is based on SQLState // since SQLErrorCode is extremely vendor-specific.  Specific Dialects // may override to return whatever is most appropriate for that vendor.
// otherwise immediately materialize it
// classic translator does not support collection of ordinal // param metadata
// TODO : make this the factory for "entity mode related" sessions; // also means making this the target of transaction-synch and the // thing that knows how to cascade things between related sessions // // At that point, perhaps this thing is a "SessionContext", and // ConnectionManager is a "JDBCContext"?  A "SessionContext" should // live in the impl package...
// Class names in the FROM clause result in a JoinSequence (the old FromParser does this).
// array of primitive type // do nothing
// Prepare the left hand side and get the data type.
// all AliasToEntityMapResultTransformer are considered equal ~~~~~~~~~~~~~
// Essentially: // 1) If we have a local (Hibernate) transaction in progress //      and it already has the UserTransaction cached, use that //      UserTransaction to determine the status. // 2) If a transaction manager has been located, use //      that transaction manager to determine the status. // 3) Finally, as the last resort, try to lookup the //      UserTransaction via JNDI and use that to determine the //      status.
//EARLY EXIT
// Bind the filters
// If the property is a special collection property name, return a CollectionPropertyMapping.
// warning: can cause a recursive calls! (proxy initialization)
//only needed during compilation phase...
// see if the entry represents a class file
// Render the SQL query
// Otherwise, we have a non-scalar select with defined collection fetch(es). // Make sure that there is only a single root entity in the return (no tuples)
// we have something like : "? [op] rhs"
//this is kinda the best we can do...
// callable statement support ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// this is a collection initializer, so we must create a collection // for each of the passed-in keys, to account for the possibility // that the collection is empty and has no rows in the result set
//important!!
// use default behavior
// ALIASES
"// seems to not really... //	public boolean supportsRowValueConstructorSyntax() { //		return true; //	}"
// NOTE: this assumes something about how propertySelectFragment is implemented by the subclass!
// get meta's from <hibernate-mapping>
// for expected parameter type injection, we expect that the lhs represents // some form of property ref and that the children of the in-list represent // one-or-more params.
// This method may be called many times!!
// naked property-refs cannot be used with an aliased from element
// check to see if it is in the second-level cache
// (NOT (IS_NULL a b) ) => (IS_NOT_NULL a b)
// just do the regular thing if you can't find the ctor // Your AST must have default ctor to use this.
// static helper methods ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// 23000: Check constraint violation: {0} // 23001: Unique index or primary key violation: {0}
// passing through anything we do not know : to support jdbc escape sequences HB-898
//named query parameter
//hum ... should we cascade anyway? throw an exception? fine like it is?
// 'hibernate.temp.use_jdbc_metadata_defaults' is a temporary magic value. // The need for it is intended to be alleviated with future developement, thus it is // not defined as an Environment constant... // // it is used to control whether we should consult the JDBC metadata to determine // certain Settings default values; it is useful to *not* do this when the database // may not be available (mainly in tools usage).
//TODO: is this really necessary????
// cascade first, so that all unsaved objects get their  // copy created before we actually copy
// calls executeBatch()
// session-start/post-flush persistent state
// yuck!
// Write HTML header
// No batch statements
// unsorted, natural, comparator.class.name
// Remember Isolation level
//the database has changed now, so the subselect results need to be invalidated
// Return StringBuffer content as a large String
// this piece is needed for usage in select clause
// Create an OuterJoinGenerator for this dialect.
"/*public static Object[] clone(Class elementClass, Object[] array) {		Object[] result = (Object[]) Array.newInstance( elementClass, array.length );		System.arraycopy(array, 0, result, 0, array.length);		return result;	}*/"
/* | this | bean | args | i | raw bean | exception | */
//do nothing to avoid a lazy property initialization
// TODO: Figure out a better way to get the FROM elements in a proper tree structure. // If this is not the destination of a many-to-many, add it as a child of the origin.
// dirty check against the database snapshot, if possible/necessary
//TODO: unnecessary for databases with ANSI-style joins
//where fragment must be empty!
// the object is transient or detached
// aload_0 // load this
// HSQLDB only supports READ_UNCOMMITTED transaction isolation
// skip this check for composite-ids relating to dom4j entity-mode; // alternatively, we could add a check to make sure the incoming id value is // an instance of Element...
// FIXME hack to work around fact that calling // Node added = root.addChild( fqn ); doesn't  // properly set the version on the node
// database type mapping support ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// will still be issued when it used to be null
// at this point we have (drivingSqlAlias) the SQL alias of the driving table // corresponding to the given user alias.  However, the driving table is not // (necessarily) the table against which we want to apply locks.  Mainly, // the exception case here is joined-subclass hierarchies where we instead // want to apply the lock against the root table (for all other strategies, // it just happens that driving and root are the same).
// The property is another class..
//crossJoins.add(name);
//The class is now way to complex!
//TODO: optimize this better!
//assign the requested id to the proxy, *before* //reassociating the proxy
// this is called from SettingsFactory irregardless; trivial to simply disregard
//TODO: proxies!
"// Note: For object <-> SQL datatype mappings see: //	 Configuration Manager | Advanced | SQL | System DDL Datatype Mappings // //	TBD	registerColumnType(Types.BINARY,        ""binary($1)""); // changed 08-11-2005, jsl"
//ATTRIBUTES MAINTAINED BETWEEN FLUSH CYCLES
// Clone //-----------------------------------------------------------------------
// Add a zero (or quite low) timeout option so we don't block. // Ignore any TimeoutException. Basically we forego caching the // query result in order to avoid blocking. // Reads are done with suspended tx, so they should not hold the // lock for long.  Not caching the query result is OK, since // any subsequent read will just see the old result with its // out-of-date timestamp; that result will be discarded and the // db query performed again.
//needed by arrays
// replicate() operations ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
//Render the SQL query
//initialize properties of the event:
// intializes result by side-effect
// TODO : or should we return 'containsTableAlias'??
"// Take care of any entities that might have // been evicted!	"
// performance op to avoid the array search
// create a new collection wrapper, to be initialized later
// collectionPersister should not be null, but we don't want to throw // an exception if it is null
//a shortcut if its location didn't change!
// return
// IDENT is a class alias in the FROM.
//optimization //optimization
// TODO: an alternative is to check if the owner has changed; if it hasn't then // return collection.getOwner()
// local cache, so we use synchronization
// Reattachment of aPerson
"//note: it is conceptually possible that a UserType could map null to //	  a non-null value, so the following is arguable:"
// methods to make it possible to use the Native Id generator
// Multi-param string dialect functions...
// Possibly handle :something parameters for the query ?
// careful with this!
// Original Dialect.java returns " for update";
// does this need holdlock also? : return tableName + " with (updlock, rowlock, holdlock)";
"/**     * FIXME Per the RegionFactory class Javadoc, this constructor version     * should not be necessary.     *      * @param props The configuration properties     */"
//stops flush being called multiple times if this method is recursively called
//doable if needed
// we don't need to worry about existing version being uninitialized // because this block isn't called by a re-entrant load (re-entrant // loads _always_ have lock mode NONE)
//pull off the last ", "
// Note this!!
//bad cast
// Write any appropriate versioning conditional parameters
// Put the THETA_JOINS node before the HQL condition, after the filters.
// This assumes you will want to ignore any update counts
// object have been loaded with setReadOnly(true); HHH-2236
"//	private final List scalarTypes = new ArrayList(); //	private final List scalarColumnAliases = new ArrayList();"
//TODO: Should this be an InitializeEntityEventListener??? (watch out for performance!)
//faster?
// Append the text of the current node.
// Anywhere else we should look?
// we can go straight to the first required row
//ie. 60 seconds
// TODO: toLowerCase was not done before. Only used in Template.
//do not return a proxy! //(this option indicates we are initializing a proxy)
//TODO: create uk loaders for component properties
//TODO: maybe call it getRowSelection() ?
// binary %Stream // character %Stream
// one or the other needs to be a datetime for us to get into this method in the first place...
//propertyTableNumbersByName.put( prop.getName(), join );
// Handle any filters applied to the class level
//scan the query string for class names appearing in the from clause and replace //with all persistent implementors of the class/interface, returning multiple //query strings (make sure we don't pick up a class in the select clause!)
//a newly wrapped collection is NOT dirty (or we get unnecessary version updates)
//now render the select clause
// Need to account for allowable '_' within the variant
// for non-arrays, we don't need to know the element class //elementType.returnedClass();
// noop
// If the data type is not an association type, it could not have been in the FROM clause.
"//	public boolean isShowSqlEnabled() { //		return showSql; //	} // //	public boolean isFormatSqlEnabled() { //		return formatSql; //	}"
// persist() operations ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// using local since the inheritedMetas at this point is not the correct map since it is always the empty map
// TODO : keep seperate notions of QT[] here for shallow/non-shallow queries...
// Chop off the rest of the tree.
// todo : should we check the current isolation mode explicitly?
// NOTE: Because we're using ASTUtil.createParent(), the tree must be created from the bottom up. // IS EMPTY x => (EXISTS (QUERY (SELECT_FROM (FROM x) ) ) )
// prepare and execute the insert
// jdbc params are 1-based
// this is a virtual id property...
//sqlResultTypes = ( Type[] ) sqlResultTypeList.toArray( new Type[sqlResultTypeList.size()] );
// If we've been blocking for the mutex, perhaps another // thread has already reestablished the root. // In case the node was reestablised via replication, confirm it's  // marked "resident" (a status which doesn't replicate)
//TODO: make this a bit nicer
// Use theta style (for regression) // Move the node up, after the origin node.
// The getEmailAddresses() might trigger a lazy load of the collection
//TODO: design new lifecycle for ProxyFactory
//update all the modified entries
// this is done here 'cos we might only know the type here (ugly!) // TODO: improve this a lot:
"//	private ComponentTuplizerFactory componentTuplizerFactory; todo : HHH-3517 and HHH-1907"
// the path expression ends at the ]
// a peek ahead showed this as an JPA-positional parameter
//create an index on the key columns??
// TODO: should "record" how many properties we have reffered to - and if we  //       don't get'em'all we throw an exception! Way better than trial and error ;)
//figure out which tables need to be fetched
// Do the key. The key is immutable so we can use the _current_ object state - not necessarily // the state at the time the delete was issued
// The keyword used to insert a row without specifying // any column values
//NOTE EARLY EXIT!
//noncritical, swallow and let the other propagate!
// collect EntityIdentifier(s) of the *current* elements - add them into a HashSet for fast access
// return aliases not supported in classic translator!
//ie. a many-to-many
// an "embedded" component (composite ids and unique) // note that this does not handle nested components
// orphans should be deleted during save/update
"//			        ( implied && DotNode.useThetaStyleImplicitJoins ) ) {"
//TODO: this is a little inefficient, don't need to do a whole //      deep replaceElements() call
// validate() instances of Validatable
// if either its role changed,
// The name of the SQL function that transforms a string to lowercase
// pre-determine and cache the hashcode
//Inside a BETWEEN ... AND ... expression
// This uses a PathExpressionParser but notice that compound paths are not valid, // only bare names and simple paths:
// the object is persistent
//return a proxy if appropriate
// invokeinterface // enabled.getInterceptFieldCallback()
//initialize + unwrap the object
// moved up from AbstractEntityPersister ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// handles arrays and newly instantiated collections
// Resolve the LHS fully, generate implicit joins.  Pass in the property name so that the resolver can // discover foreign key (id) properties.
// for convenience to save some lookups
//TODO: avoid this for non-new instances where mightBeDirty==false
// Execution methods ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// So this needs to be safe from concurrent modification problems. // It is safe because of how IdentityMap implements entrySet()
//root entity comes *last*
// We ignore minimalPutOverride. JBossCache putForExternalRead is // already about as minimal as we can get; it will promptly return // if it discovers that the node we want to write to already exists
// Get the caller
// transfer an explicitly defined entity name // handle the lazy attribute
// Use the delegate.
// todo: this might really even be moved into the cfg package and used as the basis for all things which are configurable.
// required to exception table // iconst_0 // i
// registerColumnType(Types.VARBINARY, "CHARACTER($l)"); // registerColumnType(Types.BLOB, "CHARACTER($l)" );  // For use prior to CP 11.0 // registerColumnType(Types.CLOB, "CHARACTER($l)" );
//String[] keyCols = collPersister.getKeyColumnNames();
//TODO: this is one of the ugliest and most fragile pieces of code in Hibernate....
// If that didn't work, try using the 'import' name.
//note early exit here:
// Dialect method overrides ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// does this entity entry pertain to the entity persister in which we are interested (owner)?
// loop through all the associated entities and make sure they have been // processed before the latest // batch associated with this entity type.
//with two-deep subqueries, the same alias would get generated for //both using the old method (criteriaQuery.generateSQLAlias()), so //that is now used as a fallback if the main criteria alias isn't set
// function templates
// Fetch embedded identifiers propertynames from the "virtual" identifier component
// during flush, we navigate the object graph to // collections and decide what to do with them
// disassemble named parameters
// array of reference type
// keyword support ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
//if it is a formula index, use the element columns in the PK
// TODO: copy/paste from ManyToOneType
// Initialize SQL nodes here.
// by default just use an unanticipated capacity since we don't // know how to extract the capacity to use from original here...
// TODO: Should this really return null?  If not, figure out something better to do here.
// again, both should be FromElements
// end region to handling exception (BulkAccessorException)
// Oracle driver reports to support getGeneratedKeys(), but they only // support the version taking an array of the names of the columns to // be returned (via its RETURNING clause).  No other driver seems to // support this overloaded version.
// TODO: this is very suboptimal for some subclasses (namely components), // since it does not take advantage of two-phase-load
// the name of an SQL function
// TODO: this is a bit of copy/paste from IndexedCollection.createPrimaryKey()
// No explicit select expression; render the id and properties // projection lists for every persister in the from clause into // a single 'token node'. //TODO: the only reason we need this stuff now is collection filters, //      we should get rid of derived select clause completely!
//private final Map propertyTableNumbersByName = new HashMap();
// If it's not implied or it is implied and it's a many to many join where the target wasn't found.
//element = XMLHelper.generateDom4jElement( persister.getNodeName() );
// found
// automatically makes a column with the default name if none is specifed by XML
// scroll backward
//use the id column alias
// should probably no-op commit/rollback here, at least in JTA scenarios
//NONE, because its the requested lock mode, not the actual!
// (EQ a NULL) => (IS_NULL a)
// 60 second lock timeout
// FieldInterceptor impl ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// delete does cascade to uninitialized collections
// Do nothing; subclasses may override.
// Add the token to the AST.
// Use the delegate, resolve identifiers as FROM element aliases.
// add the current fragment to the FILTERS node
// for version properties marked as being generated, make sure they are "always" // generated; aka, "insert" is invalid; this is dis-allowed by the DTD, // but just to make sure...
// Collection 'property function'
//slice, to get the columns for this component //property
// default is POJO
// Use the lower case function name. // Remember whether we're in a SELECT clause or not.
//return memberPersister.getPropertyType(propertyName);
//postInitialize() will be called after initialization
// give the Interceptor a chance to process property values, if the properties // were modified by the Interceptor, we need to set them back to the object
// delete() operations ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
//before adding to collection!
// Deserialize //-----------------------------------------------------------------------
// stream closed in the finally
// grrr... for differentiation of mysql storage engines
// ----------------------------------------------------------- Constructors
// append the SQL to return the generated identifier //TODO: suck into Insert
// TODO: better error message since we actually support composites if names are explicitly listed.
// todo : modify the class definition if not already transformed...
/*(LockMode) anything*/
// Multi-param dialect functions...
// properties
//its already loaded so don't need to hydrate it
//TODO: add referencedClass to disambiguate to FKs on the same //      columns, pointing to different tables
//TODO: if lock.getTimestamp().equals(ts)
//TODO: can we limit stored procedures ?!
