// line 706
// produce a nicer error since Rubyists aren't used to seeing this
// line 1326
// line 821
// Do not open as 'rw' by default since a file with read-only permissions will fail on 'rw'
// line 574
// ok, now it gets expensive...
// MRI also does a pointer comparison here
// synchronize on the RubyThread for threadgroup updates
// Scope (method/closure) to which this cfg belongs // Entry BB -- dummy // Exit BB -- dummy // The actual graph // Next available basic block id
// variable args with block
// line 916
// line 1886
// jump and branch operations
// line 1516
// Doesn't fit in buffer. Write immediately. // ensure nothing left to write
// SSS FIXME: Is this correctly placed ... at the end of the loop iteration?
// trigger class initialization for the class
// If no explicit block passed to super, then use the one passed in, unless it's explicitly cleared with nil
//System.err.println(" calculateLength()/str=" + str);
// line 457
// leave as a normal array
// We want unique ids for dataflow variables
//          context.swapValues(); //context.consumeCurrentValue();
// FIXME: This is gross. Don't do this.
// we know variables cannot be null since localstaticscope will create a 0 length one.
"/*case CONSTNODE:                handleUselessWarn(node, ""a constant""); return;*/"
// this seems unlikely to happen unless it's a totally bogus fileno // ...so do we even need to bother trying to create one?
// include any interfaces we extend
// nothing
// line 879
// must not reallocate
// number of variables in this scope representing required arguments
// line 348
// TODO: Add safety check for taintedness
// return in a class body raises error
// fill local vars with nil, to avoid checking every access.
// optArgs and restArgs require more work, so isolate them and ArrayList creation here
// See if module is in chain...Cannot match against itself so start at superClass.
// FIXME: bit of a kludge here (non-interface classes assigned to both // class and module fields). simplifies proxy extender code, will go away // when JI is overhauled (and proxy extenders are deprecated).
// binding given, use binding's file
// Increase precision - next iteration supplies n exact digits
// FIXME: inefficient; constructing a bignum just for dumping?
// line 983
// FIXME: This doesn't actually support anything but String
// opt but no rest, must be at least required and no more than required + opt
// throw
// line 1048
// ARGF methods
// 'd' and 'i' are the same
// Create Constants class
/* See if it is a reserved word.  */
"/*     * If we are setting post arguments we can assume there are no pre or others     */"
// could be pulled down to RubyClass in future // rb_class_boot
// Make sure the appropriate scope has proper size. See JRUBY-2046.
// single precision, native
// switch // for // no more data, OK for strict to go calc
// line 1502
// assign the default values, adding to the end of allArgs
// line 1641
// Peel onion...make subpatterns out of outer layer of glob and recall with each subpattern  // Example: foo{a{c},b}bar -> fooa{c}bar, foobbar
// Used for tiny smidgen of grammar in lexer (see setParserSupport())
// line 1725
// line 7713 "-"
// unframed invokers have no Ruby frames, so pull from class name // but use current frame as file and line
// Value of "TZ" property is of a bit different format, // which confuses the Java's TimeZone.getTimeZone(id) method, // and so, we need to convert it.
// TODO: Only used by interface implementation; eliminate it
// Called before any write to make sure the // header is always written before the first bytes
// We can assign if we already have variable of that name here or we are the only // scope in the chain (which Local scopes always are).
// no block
// Compilation
// generate a real method signature for the method, with to/from coercions
/* DStrNode: :"some text #{some expression}"*/
// Increase value to hit lower range.
// method itself // ThreadContext // invoked name
// We can callsite cache const_missing if we want
// line 871
// Struct bodies should be public by default, so set block visibility to public. JRUBY-1185.
// rb_enc_str_coderange
// RubyContinuation
// no matching ctor found
// the CASE instruction
// create constructorInstaller; if there are no constructors, it will disable construction
// // A specific version was requested - use as is for search //
// If we fail to find as a normal Ruby script, we try to find as an extension, // checking for a builtin first.
// line 875
// num2int is also implemented
// boot the Object class
// re-register, since fileno points at something new now
// if undefined, branch to method_missing
// provider is not available
// optimistic pass - calculate value as digits are processed // digits - lax rules // decimal digits - lax rules // exponent sign/digits - lax rules // digits - strict rules // decimal digits - strict rules // exponent sign/digits - strict rules // complete calculation if possible
// unsigned short, native
// only rest, must be at least required
// line 558
// line 1383
// line 1553
// add all names for this annotation
// line 763
// There is something valid in the sun_path component
// try all extensions
// line 815
// Must be called from main thread (it is currently, but this bothers me)
// line 466
// use original modes
// TODO: This is also defined in the MetaClass too...Consolidate somewhere.
// limit the length of negatives if possible (also faster)
// line 1877
// nil pad since we provided less values than block parms
// proxy is complete, return it
// generate call sites initialization code
// ClassProviders return Java class/module (in #defineOrGetClassUnder and // #defineOrGetModuleUnder) when class/module is opened using colon syntax.
//[?, ?] //[?, boolean]
// TOPLEVEL self and a few others want a top-level scope.  We create this one right // away and then pass it into top-level parse so it ends up being the top level.
// if we have multiple asgn with just *args, need a special type for that
// Construct the top-level execution frame and scope for the main thread
"/*     * Not normally used, but is left in here since it can be useful in debugging     * grammar and lexing problems.     *     */"
// line 863
// if we've found the last char of the separator, // and we've found at least as many characters as separator length, // and the last n characters of our buffer match the separator, we're done
// // this test really means, that this is a ruby-defined subclass of a java class //
// BreakJump, CacheEntry, ThreadContext, IRubyObject, IRubyObject
"/*         * First we need to register the JRuby engine.         */"
// too big for us
// This field is used during argument processing to avoid putting RubyArray // instances that are purely for utility purposes into ObjectSpace.
// line 1609
// for future compatibility as constructors move toward not accepting metaclass?
/* should alter global state */
// do nothing, it's a non-impl method
// attempt to decriticalize all if we're the critical thread
// read-volatile
// update all hierarchies into which this module has been included
// line 1314
// not using a new scope, use saved one for a flat closure
// if given path is absolute, just try it as-is (with extensions) and no load path
//runtime.getWarnings().warn(ID.STRUCT_CONSTANT_REDEFINED, frame.getFile(), frame.getLine(), "redefining constant Struct::" + name, name);
"/*  ================     *  Utility Methods     *  ================      */"
// ignore leading zeroes
//System.err.println("figureOutBase()/base=" + base);
// line 751
"/*         * Initialize a simple Frame.          */"
// all methods dispatch to the simple version by default, which is method_missing normally
// rb_reg_raise
// initialize the static settings to determine which factory to use
// if any exceptions were raised, we fail
// unknown extension, fall back to search with extensions
// eval instructions
// FIXME: This is currently only here because of some problems with IOOutputStream writing to a "bare" runtime without a proper scope
// line 1276
// line 1417
// FIXME: Obvious issue that not all platforms can display all attributes.  Ugly hacks. // Using generic posix library makes pushing inspect behavior into specific system impls // rather painful.
// end constructor
// // CONSTANT TABLE METHODS - pass to delegate //
// Initial x - use double root - multiply by halfBack to unshift - set new scale
// File where current executing unit is being evaluated
// line 333
// line 494
//            return len - n;
// use the same logic as in EvaluationState
//        return new CallOneArgNode(firstNode.getPosition(), firstNode, operator, new ArrayNode(secondNode.getPosition(), secondNode));
// how far ahead we are when reading
// long, big-endian
// This is a non-standard method; have we decided to start extending Ruby? //classClass.defineFastMethod("subclasses", callbackFactory.getFastOptMethod("subclasses"));
// line 1204
// MRI behavior: Be default, 2 digits // in the exponent. Use 3 digits // only when necessary. // See comment for writeExp method for more details.
// This is now needed, since module Java // isn't in by default
// install invokedynamic bootstrapper // TODO need to abstract this setup behind another compiler interface
// TODO: rounding mode should not be hard-coded. See #mode.
// create a lightweight thunk
// Execute iterateMethod again.
// line 495
// BreakJump, ThreadContext
// promise to implement zero to three with block
// we grab serial number first; the worst that will happen is we cache a later // update with an earlier serial number, which would just flush anyway
// signed char
// Has read/write been closed or is it still open for business
// deal with length/width
// line 1034
// line 1286
// SSS FIXME: Are we guaranteed that we splats dont head to multiple-assignment nodes!  i.e. |*(a,b)|?
// On platforms without a c-library accessable through JNA, getpid will return hashCode  // as $$ used to. Using $$ to kill processes could take down many runtimes, but by basing // $$ on getpid() where available, we have the same semantics as MRI.
// line 639
// line 1625
// line 358
// fields used for direct (optimistic) calculation // number of significant digits, updated as parsed // zeroes that may go to significand or exponent // offset of decimal pt from start (-1 -> no decimal) // significand, updated as parsed // exponent, updated as parsed
// line 478
// from DUP_SETUP
// bomb out, it's not a binding or a proc
// line 1493
//call throwException via JRuby
// This does the assignment!
// ?z  | boolean | True if file1 exists and has a zero length
// FIXME: Added this because marshal_spec seemed to reconstitute objects without calling dataWrapStruct // this resulted in object being null after unmarshalling...
// line 1415
// TODO: not sure that we should skip calling join() altogether. // Thread.join() has some implications for Java Memory Model, etc.
// Regexp engine 'java'
/* len + margin */
// 3. MRI ignores the trailing junk
// line 737
// line 1831
// clear body or next result after each successful loop
// line 1269
// note all fields are final -- rehash creates new entries when necessary. // as documented in java.util.concurrent.ConcurrentHashMap.java, that will // statistically affect only a small percentage (< 20%) of entries for a given rehash.
// check if it's true, ending if not
// line 1254
// no digits, error
// line 1574
// promise to implement two to N
// No editing before startPos
// from CommandlineParser
// build scope names string
// Object is ready, create top self
// add (potentially) overridden names to the key. // TODO: see note above re: optimizations
// setFoo(Foo) => foo=(Foo)
// Reset value map if this instruction is the start/end of a basic block // // Right now, calls are considered hard boundaries for optimization and // information cannot be propagated across them! // // SSS FIXME: Rather than treat all calls with a broad brush, what we need // is to capture different attributes about a call : //   - uses closures //   - known call target //   - can modify scope, //   - etc. // // This information is probably already present in the AST Inspector
// line 623
// alu operations
// line 1898
/* FIXME: arg_concat logic missing for opt_call_args*/
// line 649
// TODO: better detection when path is absolute or not. // If the path isn't absolute, then prepend the current working // directory to the path.
//yyDgoto 136
// rb_match_busy
// How many bytes into the source are we?
// normal all-rest method
// create static init, for a monitor object
// clear basename so it's anonymous when raising
// line 1196
// try/finally block to ensure unlock
// line 323
// Special form of sprintf that returns a RubyString and handles // tainted strings correctly. Version for 1.9.
/* $": already loaded files */
// line 1354
// for zero args case we can stop searching
// looks like someone's trying to raise a Java exception. Let them.
// line 1677
// If there's a second argument, it's the path to which the first  // argument is relative.
// QTRUE
// TODO: build arg list based on number of args, optionals, etc
// line 1434
// cryptic for the uninitiated...
// jcreate instantiates the proxy object which implements all interfaces // and which is wrapped and implemented by this object
// TODO: must override in RubyModule to pick up constants
// line 1448
// SSS FIXME: Correct?  Where does closure arg come from?
// line 313
// assign to appropriate variable
//str is frozen
// Get index of last read byte
//        assertSame(script1, script2);
// Build args
// normal file descriptor..try to work with it
//System.err.println("ADDING CHAR: " + (char)cx + " with number: " + cx);
// make all sockets blocking as configured again // close unregisters all channels, so we can safely reset blocking modes
// line 449
// line 1241
// Build the CFG for this scope -- supported only by methods & closures
/*$8 == null ? NilImplicitNode.NIL : $8;*/
// For JSR 223 support: see http://scripting.java.net/
// first try our custom-generated Unsafe
// Is this instruction live or dead?  During optimization passes, if this instruction // causes no side-effects and the result of the instruction is not needed by anyone else, // we can remove this instruction altogether without affecting program correctness.
// Not sure if this is actually possible, but better safe than sorry
// use numbered access method
// Basic Block id // CFG that this basic block belongs to // All basic blocks have a starting label // List of non-label instructions
// try optz version
// line 1784
// By default we always reverse lookup unless do_not_reverse_lookup set.
// using IOChannel may not be the most performant way, but it's easy.
// zeroed by jvm
// line 1145
// EQ == 0 (i.e. false)   //[C]
// since we're not actually duping the incoming channel into our handler, we need to // copy the original sync behavior from the other handler
// any BigInteger is bigger than Fixnum and we don't have FIXABLE
// load block from [] version of method
//IRubyObject family = args[2];
// w_unique
// we've already done the above priming logic, just add another interface // to the list of intentions unless we're past the point of no return or // already intend to implement the given interface
// line 1788
// Is the parser currently within a method definition
// re-register
// line 1808
// line 1298
// BigInteger required a sign byte in incoming array
// line 1179
// TODO: NOT_ALLOCATABLE_ALLOCATOR is probably ok here, since we don't intend for people to monkey with // this type and it can't be marshalled. Confirm. JRUBY-415
// TODO: Make callCoerced work in block context...then fix downto, step, and upto.
// no need to assign encoding, same bytelist shared
"/* ============================     * Here are hash internals     * (This could be extracted to a separate class but it's not too large though)     * ============================     */"
// MRI ignores seek errors, presumably for unseekable files like // serial ports (JRUBY-2979), so we shall too.
// we have an input case, prepare branching logic
// This is a dummy scope; we should find a way to make that more explicit
// We require the home directory to be absolute
// TODO: warn "tried to create Proc object without a block"
// if we hit EOF or reached limit then we're done
// Determine how many of type are needed (default: 1)
// we have a body, do a full-on method
// in 1.8 mode, this will be a RubyArray containing the arguments // in 1.9 mode, this will be an IRubyObject[]
// Spurious wakeup-loop
// invoke specific arity version
// no args, with block
// if the insertion point is a class, update subclass lists
// re-get, re-check method; if not null now, go to dispatch
// JRUBY-2435: Aliasing eval and other "special" methods should display a warning // We warn because we treat certain method names as "special" for purposes of // optimization. Hopefully this will be enough to convince people not to alias // them.
// arguments compilers always create IRubyObject[], but we want to use RubyArray.concat here; // FIXME: as a result, this is NOT efficient, since it creates and then later unwraps an array
// store the local vars in a local variable if there are any
// if len == 0 then shared empty
// main while loop (offset < length)
// Stream of data that yylex() examines.
"/*     * Determine what sort of assigner should be used for the provided 'iter' (e.g. block).     * Assigner provides just the right logic for assigning values to local parameters of the     * block.     *     * This method also has a second optimization which is to set 'noargblock' in the case that     * the block is a block which accepts no arguments.  The primary reason for this second     * optimization is that in the case of a yield with a RubyArray we will bypass some logic     * processing the RubyArray into a proper form (only to then not do anythign with it).  A     * secondary benefit is that a simple boolean seems to optimize by hotspot much faster     * than the zero arg assigner.     */"
// line 845
// populate commandline with NG-provided stuff
// If the next scope out has the same binding scope as this scope it means // we are evaling within an eval and in that case we should be sharing the same // binding scope.
//Kernel is the only Module that doesn't need an implementor
// line 1182
// If divisor is zero, don't simplify!
/* \M-X, \M-\C-X, \M-\cX */
// RubyUNIXServer
// Assign the closure to the block variable in the parent scope and return it
// append what we read into our buffer and allow the loop to continue
// line 1345
// Windows does not support these functions, so we won't even try // This also matches Ruby behavior for JRUBY-2353.
// try loading from classloader resources
// restore context classloader, in case we're using a thread pool
// called only by initializing thread; no synchronization required
// line 1138
/* and subtract as neeeded.*/
// (1|intlen)
// finally
// line 459
// In certain places, like grep, we don't use real frames for the // call blocks. This has the effect of not setting the backref in // the correct frame - this delta is activated to the place where // the grep is running in so that the backref will be set in an // appropriate place.
// rb_str_hash_cmp
// add all name-to-class mappings
/* Only accept an open brace if there is a close */
// probably a primitive
// precision for G/g includes integer digits
// Value of last token which had a value associated with it.
// TODO: turn off the negative? will return -0.0 in lax mode
// newline
// leave stack alone
// temp locals must start after last real local
// We don't support .so, but some stdlib require .so directly // replace it with .jar to look for an extension type we do support
// setup the class
// line 519
// line 944
// if we expect a return value, unwrap it
// done processing args
// MRI behavior: With TZ equal to "GMT" or "UTC", Time.now // is *NOT* considered as a proper GMT/UTC time: //   ENV['TZ']="GMT" //   Time.now.gmt? ==> false //   ENV['TZ']="UTC" //   Time.now.utc? ==> false // Hence, we need to adjust for that.
// rb_yield_values(2,...) equivalent
// TODO: Someday, enable.
// line 1905
// Must be back on first line on rewind.
// unwrap scopes to appropriate depth
// FIXME: This is temporary since the variable compilers assume we want // args already on stack for assignment. We just pop and continue with // 1.9 args logic.
/* ----------- Public abstract methods ---------- */
// Skip any assignments if /usr/bin/env is in play
// Note: includes part of fix for JRUBY-1339
// last index (+1) accessed by next() // last index (+1) accessed by get()
// line 1097
// odd...but it is odd in ruby too.
// otherwise fall back on system temp location
// FIXME: Get rid of laziness and handle restricted access elsewhere
// then optional args
// line 311
// ZStream actually *isn't* allocatable
// successfully got back a jitted method
// line 331
// for interface impls
//yyDgoto 152
// need names ordered for key generation later
// Workaround for JRUBY-4149
// No passed in block, lets check next outer frame for one ('Proc.new')
// extract item from array
// TODO: number formatting here, MRI uses "%-.10g", 1.4 API is a must?
// significant digits and exponent
// the requested precision
// Ensure we're not running on GCJ, since it's not supported and leads to weird errors
// line 392
// line 1173
// compile into array
// Double.MAX_EXPONENT since Java 1.6
// Should we display extra debug information while parsing?
// loop until we see the nth separator char
// without full tracing, many events will not fire
// just in case, add a bit of extra precision
// We lazily initialize this in case Readline.readline has been overridden in ruby (s_readline)
/* FIXME: finalizer should be dupped here */
// We break if we know this sleep was explicitly woken up/interrupted
// TODO: Consider a better way of synchronizing
// three args, no block; load NULL_BLOCK
// Translate "x || y" --> "x = (is_true(x) ? x : y)" --> //  //    x = -- build(x) should return a variable! -- //    f = is_true(x) //    beq(f, true, L) //    x = -- build(y) -- // L: //
// line 1377
//FIXME warning
// IOT is also 6
// line 883
// store the local vars in a local variable
// PID
// Enebo:  c can never be antrhign but '.' // Why did I put this here?
// ?r  | boolean | True if file1 is readable by the effective uid/gid of the caller
//io.finish();
// we already confirmed above that length > 0
"/* Currently dead code, but useful when we figure out how to actually perform translit.    private static boolean isTranslit(String encoding) {        return encoding.toLowerCase().indexOf(TRANSLIT) != -1 ? true : false;    }*/"
// drop through for sign
// boot the Module and Class classes
// otherwise no items left available, use the code for default
// rethrow to outer flow catcher
// arities
// we only collect methods and interfaces for  // user-defined proxy classes.
// uber-ThreadKill catcher, since it should always just mean "be dead"
// NOTE: The five match methods are arity-split to avoid the cost of boxing arguments // when there's already a cached match. Do not condense them into a single // method.
// set RubyClass
// zero args, no block; load NULL_BLOCK
// MRI behavior: "If digits is 0, the result is the same as the / operator."
// next in hierarchy is an included version of the module we're attempting, // so we skip including it
// line 1635
// Get the convention from the options hash
// Reuse trailing consecutive sequence at same slot
// rubyObject is already of the required jruby class (or subclass)
// Enebo: annotation processing forced me to do pangea method here...
// ignore error
"/*  ================     *  Singleton Methods     *  ================      */"
// rb_reg_desc
// many cases are ok to convert to float; if not one of these, error
// ignore // switch
// we're depending on the side effect of the load, which loads the class but does not turn it into a script // I don't like it, but until we restructure the code a bit more, we'll need to quietly let it by here.
// Tainting here if we ever want it. (secure 4)
// The method is intentionally not public, since it typically should // not be used outside of the core.
// promise to implement one to N
// recv returns nil on EOF
// line 1972
// Serialization killed our dynamic scope.  We can just create an empty one // since serialization cannot serialize an eval (which is the only thing // which is capable of having a non-empty dynamic scope).
/* it's a comment */
/* ENEBO: Removed !compile_for_eval which probably is to reduce warnings*/
// line 303
// promise to implement three to N
"/* rb_ary_new2     * just allocates the internal array     */"
/* package scope */
// This is not an expression that computes anything
// datagram, set accordingly // again, AF_INET
// TODO: pass this in?
// FIXME: null check is removable once we figure out how to assign to unset named block args
// line 738
// Claims conversion is done via 'to_s' in docs.
// arity ok, continue
// line 1573
/* \OOO */
// chain to the next segment of this giant method
// Zlib::NO_FLUSH
// TODO: this isn't handling multibyte yet
// make getter for proxy class
// ?d  | boolean | True if file1 exists and is a directory
// line 530
// XXX: This check previously used callMethod("==") to check for equality between classes // when scanning the hierarchy. However the == check may be safe; we should only ever have // one instance bound to a given type/constant. If it's found to be unsafe, examine ways // to avoid the == call.
// '.' is printed
// up to ten, stuff into tmp locals, load in reverse order, and assign // FIXME: There's probably a slightly smarter way, but is it important?
// FIXME: This is probably not very efficient, since it loads all methods for each call
// TODO: factor this chunk as in MRI/YARV GETASTER
// Make sure this is not a directory or unavailable in some way
// line 1761
// TODO: Formalize conversion mechanisms between Java and Ruby
// line 703
// Do not clone cached methods // FIXME: MRI copies all methods here
// line 372
// fill up the rest with zeroes
// no-arg constructor using static references to Ruby and RubyClass
"/*  ================     *  Instance Methods     *  ================     */"
// Both for fixed arity and variable arity methods
"/**      * Nested class whose instances act as thunks reacting to to_str method     * called from (Exception#to_str, Exception#message)     * MRI equivalent: rb_cNameErrorMesg, class name: ""message"", construction method: ""!"",     * to_str implementation: ""name_err_mesg_to_str""     *     * TODO: this class should not be lookupable     */"
// Where we started this marker match
// For JDK 1.4 we can use "cal.getTimeInMillis()"
// FIXME:  This determine module is in a strange location and should somehow be in block
// Creates the new entry.
// $blah
// line 1243
// empirically it appears that to_ary coersions always return array or nil, so this // should always be an array by now.
// first, iterate over all pre args
// we set all Java methods to optional, since many/most have overloads
// Assemble a [ :name, offset ] array
// line 1767
// ignore and use hashcode
// in order to make pragma's noops we set location to a special value
//        public Object invoke(Object receiver, Object arg0, Object arg1, Object arg2, Object arg3) { throw fail(); } //        public Object invoke(Object receiver, Object arg0, Object arg1, Object arg2, Object arg3, Object arg4) { throw fail(); }
"/* The Java method doesn't care what class it is, but we need to               know what to convert it to, so we use the object's own class.               If that doesn't help, we use String to force a call to the               object's ""to_s"" method. */"
// NOTE: MRI's sqrt precision is limited by 100, // but we allow values more than 100.
// line 610
// MRI behavior: validate only the unnumbered arguments
"/*     * This method exists for us to break up multiple expression when nodes (e.g. when 1,2,3:)     * into individual whenNodes.  The primary reason for this is to ensure lazy evaluation of     * the arguments (when foo,bar,gar:) to prevent side-effects.  In the old code this was done     * using nested when statements, which was awful for interpreter and compilation.     *     * Notes: This has semantic equivalence but will not be lexically equivalent.  Compiler     * needs to detect same bodies to simplify bytecode generated.     */"
// line 1190
// Wrong Parameter ?
//            buffer = str.getByteList();
// If a closure, the next is simply a return from the closure! // If a regular loop, the next is simply a jump to the end of the iteration
// FIXME: don't use RubyIO for this
// send it along as arity-specific, we don't need the array
// line 446
"/*     * convert into longs, returning unsigned 64-bit values as signed longs     * ( num2long raises a RangeError on values > Long.MAX_VALUE )     */"
/* ParserSupport.literal_concat).  Check token length*/
// for fast lookup: org.joni.encoding.Encoding => org.jruby.RubyEncoding
// line 909
// ENEBO: Totally weird naming (in MRI is not allocated and is a local var name)
// trim trailing slashes
// Parser states:
// fields needed for dispatch and such
// Now for the rest
// PUSH(1)
// The problem we trying to solve below: STDIN in Java // is blocked and non-interruptible, so if we invoke read // on it, we might never be able to interrupt such thread. // So, we use in.available() to see if there is any input // ready, and only then read it. But this approach can't // tell whether the end of stream reached or not, so we // might end up looping right at the end of the stream. // Well, at least, we can improve the situation by checking // if some input was ever available, and if so, not // checking for available anymore, and just go to read.
// Returns the containing parent scope!
// rb_enc_precise_mbclen
// Execute rescue block
"/*  ================     *  Module Methods     *  ================      */"
// promise to implement zero to three
// TODO: check for ascii string
// line 776
// not so backwards-compatible here, but no one should have been // calling this anyway.
// TODO: make it 16 now ? // MUST be power of 2!
// line 1523
// do nothing, we should not delete the drive letter
// add in reverse order
"/*case SELFNODE:                handleUselessWarn(node, ""self""); return;*/"
// single precision, native // single precision, native
// line 1013
// '.' and all precision digits printed
/* -------------- Protected fields and methods below ---------------- */
// First, build an assignment for a splat, if any, with the rest of the args!
// line 1309
// ensure the object is associated with the wrapper we found it in, // so that if it comes back we don't re-wrap it
// don't override Numeric#div !
// backwards-compatibility, but threadsafe now
// line 920
// line 1992
// splatted when, can't do it yet
// line 1398
// we append an index to ensure two identical method names will not conflict
// continue with normal initialization
// modified to match how hash is calculated in 1.8.2
// The replacement "new" allocates and inits the Ruby object as before, but // also instantiates our proxified Java object by calling __jcreate!
// line 1155
// save entering the try if there's nothing to ensure
// INSTANCE VARIABLE
// invoke callMethodMissing method directly // TODO: this could be further optimized, since some DSLs hit method_missing pretty hard...
// if it's an array of arrays, recurse with the component type
// We need to ensure that the variable names generated here cannot conflict with ruby variable names! // Hence the "%" tthat is appended to the beginning!
// Get the control flow graph for this scope -- only valid for methods & closures
// id must always be even
// line 2000
// are we at '**/'
// we check length == 0 for 'load', which does not use load path
// inner class, use $ to delimit
// It's _really_ expensive to check that the class actually exists in the Jar, so // we don't do that now.
// line 1103
// optional args, so we have IRubyObject[] // TODO: confirm
// retry handling in the rescue blocks
// FIXME: what should this really be?       assert x instanceof RubyComplex;
// line 561
// ...and shift the result back to the left (multiply by 10**(abs(scale)))
// line 1708
// lame generics issues: making Segment class static and manually // inserting cache reference to work around various problems generically // referencing methods/vars across classes.
// TODO: Should frozen error have its own distinct class?  If not should more share?
// start class
// if we get here, we found a matching method, use it // TODO: choose narrowest method by continuing to search
// convert to IRubyObject
/* $>: default output handle */
// line 1938
// line 858
// MRI behavior: just plain '//' or '\\\\' are considered illegal on Windows.
// generation count for O(1) clears
// clear runtime so it doesn't get stuck in memory (JRUBY-2933)
// line 827
// up two slots, for long's two halves
// line 1814
// double precision, big-endian
// include its parent (and in turn that module's parents)
/* rb: readable */
// even shift.. // ..floors to 62 or 63 bit BigInteger
// FIXME: JRUBY-3604
// line 1533
// We do not want to capture cached methods
// // Copy out any buffered bytes //
// EQ == 0 (i.e. false)
/* Array of all operands for this instruction */
// put implementation
/* $\: output record separator */
/* \\uHHHH */
// line 283
// next entry to return // current slot // current entry
// Bind 'normal' parameter values to the local scope for this method.
// small hack to save a cast later on
// line 1803
// load self object as IRubyObject, for recv param
// try only literal search
// TODO: ruby locks the string here
// this is the order in which MRI does these two tests
// TODO: 1.9 rb_enc_symname_p
// and remaining jump exceptions should restore $!
// Since we don't have any other error reporting mechanism, we // add the error message as an always-failing test to the test suite.
/* ----------- Public Interface ------------ */
//if the index is not a multiple of 8, we are not on a byte boundary //shift the byte
// not using remove(Object) here to avoid the equals() call
// we need full traces, use default (slow) populator
// else leave it null
// space
//IRubyObject protocol = args[4];
// not true, eval value and assign
// must be called under lock
// Note: MRI has a very non-trivial way of calculating the precision, // so we use very simple approximation here:
// raw file URL, just open directly
// binary typed calls
// line 1629
//tmpPosition is required because getPosition()'s side effects. //if the warning is generated, the getPosition() on line 954 (this line + 18) will create //a wrong position if the "inclusive" flag is not set.
// 1.9 rb_check_to_integer
// line 1060
// local scopes are argument scopes by default
// The loop of "Square Root by Coupled Newton Iteration"
// All errors to sysread should be SystemCallErrors, but on a closed stream // Ruby returns an IOError.  Java throws same exception for all errors so // we resort to this hack...
// line 1244
// line 280
/*receiver*/
// If there are N slashes, then we want N-1.
// new scope for this invocation of the block, based on parent scope
// index for the item // this could probably be more efficient, bailing out on assigning args past the end?
// FIXME: add text mode to mode flags
// it's an absolute path, use it as-is
// this covers the rare case of lower-case class names (and thus will // fail 99.999% of the time). fortunately, we'll only do this once per // package name. (and seriously, folks, look into best practices...)
// line 1207
// TODO: exec should replace the current process. // This could be possible with JNA.
// EUC-JP
// set this class's method names in var @__java_ovrd_methods if this // is the new class; otherwise, get method names from there if this is // a proxy superclass.
// There are two different popular TZ formats: legacy (AST+3:00:00, GMT-3), and // newer one (US/Pacific, America/Los_Angeles). This pattern is to detect // the legacy TZ format in order to convert it to the newer format // understood by Java API.
// Check the 2 values obtained via different means
// Now add all aliases for the static methods (fields) as appropriate
// line 1431
// For 'b.foo()'.  Args are only significant in maintaining backwards compatible AST structure
/* $;: field separator */
// line 682
// make sure descriptor is registered
// mask off "once" flag
// The reason why we need the stream is to be able to invoke available() on it. // STDIN in Java is non-interruptible, non-selectable, and attempt to read // on such stream might lead to thread being blocked without *any* way to unblock it. // That's where available() comes it, so at least we could check whether // anything is available to be read without blocking.
// End of string (], ), }, >, ', ", \0)
// end hack
// same as argument_types, but matches name in java.lang.reflect.Constructor/Method
//method.invokeinterface(p(IRubyObject.class), "getInstanceVariable", sig(IRubyObject.class, params(String.class)));
// ?l  | boolean | True if file1 exists and is a symbolic link
// line 1647
// Install direct java methods with mangled name so 'send' can call them directly.
// Handle ~user paths
/* \O, \OO, \OOO or backref */
// line 1694
// rb_enc_reg_raise
// line 929
// we try to get the classloader that loaded JRuby, falling back on System
// SSS FIXME: This method (at least in the context of multiple assignment) is a little weird. // It calls regular to_ary on the object.  But, if it encounters a method_missing, the value // is inserted into an 1-element array! // try "a,b,c = 1" first; then define Fixnum.to_ary method and try it again. // Ex: http://gist.github.com/163551
// call site
// invoke static __file__
// ------- Default implementation methods below -------
// push true
// Returns the containing parent scope -- can be a dynamic value (hence Operand)!
// setup new, etc unless this is a ConcreteJavaProxy subclass
// line 2010
// finally handling for abnormal exit
// line 818
// check if it's an immediate, and don't outline
// line 1769
// no dec digits after '.', error for strict
// seek to force underlying buffer to flush
// The "root" method of a class -- the scope in which all definitions, and class code executes, equivalent to java clinit
// We override that the logic which uses this
// Readline
// check visibility // dup method
// Is the parser current within a singleton (value is number of nested singletons)
/*XXX 0;*/
// already set up append_features, just add the interface if we haven't already
// TODO: deal with varargs
// line 1105
// line 479
/* string fragment (we optimistically take one off in*/
// Highest reserved id
// synthetic methods always have zero arg parameters
// line 643
// Additional context surrounding tokens that both the lexer and // grammar use.
// if there's no receiver, evaluate and pass in the superclass, or // pass self if it no superclass
/* least significant r bits */
// line 159 "-" // %token constants
// if we get here, the class and field exist; construct our Unsafe impl // that calls it directly
// retuns null when not found to avoid unnecessary getRuntime().getNil() call
// ////////////////// CONSTANT RUBY METHODS //////////////// //
//RubyModule module = context.getRubyClass();
// line 472
// must let original string know we're modifying, so shared buffers aren't damaged
// parent.setConstant(name, proxyClass); // where the name should come from ?
// bench fixnum-boxed fib
// a gotcha
// script object
// SSS FIXME: Deprecated!  Going forward, all instructions should come from the CFG
// for zero, one, two, three arities, JavaMethod.JavaMethod*.call(...IRubyObject[] args...) will check
/* Workaround for JRUBY-2326 (MRI does not enter this production for some reason)*/
