//no big deal
// TODO : or should we return 'containsTableAlias'??
// note: interfaces is assumed to already contain HibernateProxy.class
// Write any appropriate versioning conditional parameters
// Make sure the root node for the region exists and  // has a DataVersion that never complains
// perhaps this should be an exception since it is only ever used // in the above method?
// if not a composite key, use "foo in (?, ?, ?)" for batching // if no batch, and not a composite key, use "foo = ?"
// Not elements(x)
// NOTE: this assumes something about how propertySelectFragment is implemented by the subclass! // was toUnqotedAliasStrings( getdiscriminatorColumnName() ) before - now tried // to remove that unqoting and missing aliases..
//a newly instantiated collection can't have orphans
// package protected setters ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// INDEX AND ROW SELECT
"// seems to not really... //	public boolean supportsRowValueConstructorSyntax() { //		return true; //	}"
"/*return that.type.equals(type) && 			EqualsHelper.equals(that.value, value);*/"
// todo : cache this sql...
// do the work
// force the proxy to resolve itself
// and perform the load
// Sub-insertions should occur before containing insertion so // Try to do the callback now
// custom sql
//tolerates nulls
// We need our tm, so get it now and avoid doing other work // if there is a problem
// Caches
//copyValues works by reflection, so explicitly mark the entity instance dirty
//add the restriction to the outer select
// TimesTen has no BLOB/CLOB support, but these types may be suitable  // for some applications. The length is limited to 4 million bytes.
// (NOT (LT a b) ) => (GE a b)
// set the Transaction Isolation if defined
"// IMPL NOTE : due to the delayed population of setters (setters cached // 		for performance), we really cannot pro0perly define equality for // 		this transformer"
//TODO possibly relax that
// from SortedMap
//the BLOB type requires a size arguement - this defaults to //bytes - no arg defaults to 1 whole byte! //other argument mods include K - kilobyte, M - megabyte, G - gigabyte. //refer to the PBdevelopers guide for more info.
// If there are any scalars (non-entities) selected, render the select column aliases.
// from javax.naming.Referenceable
// ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ // stuff that is tuplizer-centric, but is passed a session ~~~~~~~~~~~~~~~~ // ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// parameter bind values...
// belong to other persister // belong to other persister
// updates ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// todo : we can remove this once the deprecated ctor can be made private...
//sqlResultTypeList.add( type ); // Generate the select expression.
// treat it as a path expression
// FETCH STRATEGY
//Need this, since join condition can appear inside parens!
// todo : add the notion of enabled filters to the CacheKey to differentiate filtered collections from non-filtered; //      but CacheKey is currently used for both collections and entities; would ideally need to define two seperate ones; //      currently this works in conjuction with the check on //      DefaultInitializeCollectionEventHandler.initializeCollectionFromCache() (which makes sure to not read from //      cache with enabled filters). // EARLY EXIT!!!!!
// can happen because of the multiple ways Cache.remove() // can be invoked :(
// features which change between 8i, 9i, and 10g ~~~~~~~~~~~~~~~~~~~~~~~~~~
//" collection_ where " +
//let's assume that there is only one lazy fetch group, for now!
// note that it might be better to iterate the snapshot but this is safe, // assuming the user implements equals() properly, as required by the Set // contract!
"// here, we have two possibilities: // 		1) the property-name matches the explicitly identifier property name //		2) the property-name matches the implicit 'id' property name"
// Get the class name of the associated entity.
// all clear
// Initialize the error handling delegate.
// finally use the sqltype if == on Hibernate types did not find a match.
//this is kinda the best we can do...
// Create the SessionFactory from hibernate.cfg.xml
//may be final
// no-op; CCS did not have such a concept
//reset the version
// aload_1 // load bean
// Create an DotNode AST for the path and resolve it.
//now done in EntityIdentityInsertAction //persister.setIdentifier( entity, id, source.getEntityMode() );
"//			boolean put = persister.getCache().insert(ck, cacheEntry);"
// actual cache of the entries.  soft references are used for both the keys and the // values here since the values pertaining to the MRU entries are kept in a // seperate hard reference cache (to avoid their enqueuement/garbage-collection).
//checking for named queries
// and this is not a forced initialization during flush
"/**	 * This form used from annotations (?).  Essentially the same as the above using a	 * resultset-mapping reference, but without cacheMode, readOnly, and comment.	 *	 * FIXME: annotations do not use it, so it can be remove from my POV	 * @deprecated	 *	 *	 * @param query The sql query string	 * @param resultSetRef The result-set-mapping name	 * @param querySpaces Any specified query spaces (used for auto-flushing)	 * @param cacheable Whether the query results are cacheable	 * @param cacheRegion If cacheable, the region into which to store the results	 * @param timeout A JDBC-level timeout to be applied	 * @param fetchSize A JDBC-level fetch-size to be applied	 * @param flushMode The flush mode to use for this query	 * @param parameterTypes parameter type map	 * @param callable Does the query string represent a callable object (i.e., proc)	 */"
// Append the new property name onto the unresolved path.
//optimization
// these pieces are needed for usage in select clause
//operations which cascade as far as the collection also cascade to collection elements
// we will need to remove ye olde entries
// TODO : remove these last two as batcher is no longer managing connections
// oracle sql-state code for deadlock
// before any callbacks, etc, so subdeletions see that this deletion happened first
// CLASS + TABLE
//it is possible that the tree-walking in OuterJoinLoader can get to //an association defined by a subclass, in which case the property-ref //might refer to a property defined on a subclass of the current class //in this case, the table name is not known - this temporary solution  //assumes that the property-ref refers to a property of the subclass //table that the association belongs to (a reasonable guess) //TODO: fix this, add: OuterJoinLoadable.getSubclassPropertyTableName(String propertyName)
"/* TODO: joinKeyColumnName & foreignKeyColumnName should be called either here or at a			 * slightly higer level in the stack (to get all the information we need)			 * Right now HbmBinder does not support the			 */"
// astore 5 // store exception
// careful with this!
// do not auto-flush while outside a transaction
//we can reuse it for each row
"//			        ( implied && DotNode.useThetaStyleImplicitJoins ) ) {"
// TODO : we may also want to check that the types here map to exactly one column/JDBC-type //      can't think of a situation where arithmetic expression between multi-column mappings //      makes any sense.
// not array
// First allow the actual type to control the return value. (the actual underlying sqltype could actually be different)
"//			sqlAliasSuffixes[i] = element.getColumnAliasSuffix();"
// If there is a second child (RHS), recurse into that child.
// Make sure we don't re-release the same cache
//public Currency getCurrency(int col) throws HibernateException;
//swaldman 2006-08-28: define c3p0-style configuration parameters for properties with //                     hibernate-specific overrides to detect and warn about conflicting //                     declarations
/* local variables | this | callback | */
//TODO: is there a better way?
//safe from concurrent modification because of how entryList() is implemented on IdentityMap
//TODO: code duplication with SingleTableEntityPersister
// PERSISTER
//TODO: arithmetic expressions, multiple new Foo(...)
// If this dot has already been resolved, stop now.
// use the id value of a newly instantiated instance as the unsaved-value
// Chop off the rest of the tree.
//problematic for <key-many-to-one>!
// we need to lock the collection caches before // executing entity inserts/updates in order to // account for bidi associations
// now update all changed or added rows fks
// putfield // put field "$JAVASSIST_CALLBACK" defined already
// Use the delegate.
//nothing to do
//get 'em in the right order (not that it really matters)
// the default...
//this is basically a copy/paste of OrderByParser ... might be worth refactoring
//overriden to avoid System.exit
// database type mapping support ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
//ie. the subquery! yuck!
//null child could occur for no from clause in a filter
//fetch="join" overrides default laziness //fetch="join" overrides default laziness
"//		String provider = properties.getProperty( Environment.BYTECODE_PROVIDER ); //		log.info( ""Bytecode provider name : "" + provider ); //		BytecodeProvider bytecodeProvider = buildBytecodeProvider( provider ); //		settings.setBytecodeProvider( bytecodeProvider );"
// todo : remove
// KEY
//for sets, we should end the collection load after resolving //the entities, since we might call hashCode() on the elements //TODO: or we could do this polymorphically, and have two //      different operations implemented differently for arrays
// the loaded owner will be set to null after the collection is removed, // so capture its value as the affected owner so it is accessible to // both pre- and post- events
// log a message about potential connection leaks
//entirely optional!!
//treat it just like a new collection
// The associated entity is implied, but it must be included in the FROM. // The collection alias is the role.
// legacy behavior, apply the bridge...
// invokeinterface // callback.write*(..)
// System Functions ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// TRUE if the pool is borrowed from the outside, FALSE if we used to create it
// static helper methods ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
//we must clone embedded composite identifiers, or  //we will get back the same instance that we pass in
//Sybase BIT type does not support null values
//TODO:this is only needed during compilation .. can we eliminate the instvar?
// End unit of work
//TODO: check this....
// TODO: encapsulate the protected instance variables!
//allow 9,8,7,6,5,4,3,2,1
// ... and the token could be an identifer and the error is // a mismatched token error ...
// aliases for composite-id's
// check a set of parent/child nodes in the from-clause tree // to determine if a comma is required between them
// drop them in reverse order in case db needs it done that way...
//if it is an uninitialized proxy, pointing //with this session, then when it is accessed, //the underlying instance will be "contained"
// Generated select expressions are already resolved, nothing to do.
// Here we don't want to suspend the tx. If we do: // 1) We might be caching query results that reflect uncommitted // changes. No tx == no WL on cache node, so other threads // can prematurely see those query results // 2) No tx == immediate replication. More overhead, plus we // spread issue #1 above around the cluster
// Add a zero (or quite low) timeout option so we don't block. // Ignore any TimeoutException. Basically we forego caching the // query result in order to avoid blocking. // Reads are done with suspended tx, so they should not hold the // lock for long.  Not caching the query result is OK, since // any subsequent read will just see the old result with its // out-of-date timestamp; that result will be discarded and the // db query performed again.
"/*public Type[] getSqlResultTypes() {		return sqlResultTypes;	}*/"
// the list of entity names that indicate the batch number
// here assume SQLServer2005 using snapshot isolation, which does not have this problem
//Cope with special cases of AND, NOT, )
/* current stack len = 0 */
// IMPORT
//not null is implicit
// NOTE : firstRow is zero-based
// meant to handle dynamic instantiation queries...
// Always add the collection's query spaces.
// cache these since they are stateless // this one could even be static...
// AbstractSelectingDelegate impl ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
//special case
//NOTE: this is not updated when properties are fetched lazily!
// then handle any user-defined entity modes...
//pull off the last ", "
// Impl note: takes advantage of the fact that an escpaed single quote // embedded within a quote-block can really be handled as two seperate // quote-blocks for the purposes of this method...
// return the connection
//QueryJoinFragment join = q.createJoinFragment(useThetaStyleJoin);
//a "detached" collection!
//were an odd or even number of NOTs encountered //the join string built up by compound paths inside this expression //a flag indicating if the subexpression is known to be boolean
// TRIM(end_keyword string-expression-1 FROM string-expression-2) // use Hibernate implementation "From" is one of the parameters they pass in position ?3 //registerFunction( "trim", new SQLFunctionTemplate(Hibernate.STRING, "trim(?1 ?2 from ?3)") );
/// HHH-2378
// deprecated option...
// this function has a template -> restore output, apply the template and write the result out // TODO: Downcast to avoid using an interface?  Yuck.
// todo : we can actually just determine this from the incoming EntityEntry-s
// evict() operations ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// GUID support ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// Use theta style (for regression) // Move the node up, after the origin node.
// %upper is deprecated
// some collections are not lazy:
// PHASE 2 : Analyze the HQL AST, and produce an SQL AST.
// we have specialized case of a detached entity from the // perspective of the merge operation.  Specifically, we // have an incoming entity instance which has a corresponding // entry in the current persistence context, but registered // under a different entity instance
// entities ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// passing through anything we do not know : to support jdbc escape sequences HB-898
// An ident node can represent an index expression if the ident // represents a naked property ref //      *Note: this makes the assumption (which is currently the case //      in the hql-sql grammar) that the ident is first resolved //      itself (addrExpr -> resolve()).  The other option, if that //      changes, is to call resolve from here; but it is //      currently un-needed overhead.
// at some point the processing went bad, so we need to: //      1) make sure the connection handle gets released //      2) try to cleanup the JTA context as much as possible
// PersistentIdentifierGenerator implementation ~~~~~~~~~~~~~~~~~~~~~~~~~~~
// create the collection holding the Orphans
//a shortcut if its location didn't change!
// register a cleanup synch
// ignore!
// start region to handling exception (BulkAccessorException)
// check to see if it is in the second-level cache
//TODO: disable batch loading if lockMode > READ?
// You may still have other ResultSets or update counts left to process here  // but you can't do it now or the ResultSet you just got will be closed
// Otherwise, the destination node was implied by the FROM clause and the FROM clause processor // will automatically add it in the right place.
// Start the session to be used for this request
//hum ... should we cascade anyway? throw an exception? fine like it is?
//TODO: reuse the PreLoadEvent
"//		TypeFactory.deepCopy( currentState, propTypes, persister.getPropertyUpdateability(), deletedState, session );"
//TODO: we use two visitors here, inefficient!
//postInitialize() will be called after initialization
// ignore this error for now
// by default just use an unanticipated capacity since we don't // know how to extract the capacity to use from original here...
//TODO: move into collection type, so we can use polymorphism!
//now we might need to recalculate the dirtyProperties array
//check if the detached object being merged is the parent
//TODO:refactor + make this method private
// registerColumnType(Types.VARBINARY, "CHARACTER($l)"); // registerColumnType(Types.BLOB, "CHARACTER($l)" );  // For use prior to CP 11.0 // registerColumnType(Types.CLOB, "CHARACTER($l)" );
// we have a mapped identifier property and the root of // the incoming property path matched that identifier // property
// FIXME Hacky workaround to JBCACHE-1202
//hilo params
// DYNAMIC UPDATE
//beforeClassTokens.add("new"); DEFINITELY DON'T HAVE THIS!!
// the difficulty here is exactly what do we update in order to // force the version to be incremented in the db...
//source.getPersistenceContext().removeNonExist( new EntityKey( id, persister, source.getEntityMode() ) );
// the column doesnt exist at all.
// two conditions where we need to transform this to a theta-join syntax: //      1) 'elem' is the "root from-element" in correlated subqueries //      2) The DotNode.useThetaStyleImplicitJoins has been set to true //          and 'elem' represents an implicit join
// now update the object .. has to be outside the main if block above (because of collections)
//for non null args, check for components and elements containing components
// bad type
// TODO : shouldnt inserts be Expectations.NONE?
// does not handle arrays (thats ok, cos they can't be lazy) // or newly instantiated collections, so we can do the cast
// key is an entity involved with the operation performed by the listener; // value is a flag indicating if the listener explicitly operates on the entity
//NOTE: EARLY EXIT!
// See if the user configured a multiplexer stack
//Interrogate JDBC metadata
// todo : move to StringHelper?
"//	private boolean showSql; //	private boolean formatSql;"
// this is either a <version/> tag with no type attribute, // or a <timestamp/> tag
// is this really necessary?
// refresh doesn't cascade to uninitialized collections
// isTransactionCallbackRegistered denotes whether any Hibernate // Transaction has registered as a callback against this // JDBCContext; only one such callback is allowed.  Directly // serializing this value causes problems with JDBCTransaction, // or really any Transaction impl where the callback is local // to the Transaction instance itself, since that Transaction // is not serialized along with the JDBCContext.  Thus we // handle that fact here explicitly...
//TODO: suck into event class
//TODO: is this a bit ugly?
// +1 to include the following '.'
// --------------------------------------------------------- Public Methods
// if the collection belonged to a different entity, // clean up the existing state of the collection
//check for all components values in the collection
// an uninitialized proxy, noop, don't even need to // return an id, since it is never a save()
"//			optimizer = getFactory().getSettings().getBytecodeProvider().getReflectionOptimizer( //					mappedClass, getterNames, setterNames, propTypes //			);"
// should be the first, but just to be safe...
//We should actually rework this class to not implement Parser //and just process path expressions in the most convenient way.
// using local since the inheritedMetas at this point is not the correct map since it is always the empty map
// currently allowed...
// End of first unit of work
// just especially for the trivial collection filter
//there is probably a row there, so try to update //if no rows were updated, we will find out
// the last used iterator
"//note: dirtyFields==null means we had no snapshot, and we couldn't get one using select-before-update //	  oldFields==null just means we had no snapshot to begin with (we might have used select-before-update to get the dirtyFields)"
// select topic, syntax from information_schema.help // where section like 'Function%' order by section, topic // // see also ->  http://www.h2database.com/html/functions.html
// check if collection is currently being loaded
// VERSION UNSAVED-VALUE
// performance opt
// subclass accesses ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
//flat recursive algorithm
//a proxy cannot be transient and it breaks ForeignKeys.isTransient
//skip the FROM keyword in params
// maybe a concrete SQLpropertyresult type, but Map is exactly what is required at the moment
// locate the registered function by the given name
//TODO: cache this in an instvar
"//	private ComponentTuplizerFactory componentTuplizerFactory; todo : HHH-3517 and HHH-1907 //	private BytecodeProvider bytecodeProvider;"
// Create a parameter specification for the collection filter...
// todo : need map? the prob is a proper key, right?
// Multi-param dialect functions...
// add the comment // nest the main query in an outer select // add the rownnumber bit into the outer query select list
//private final String unquotedIdentifierColumnName;
//by requiring <, we rely on lock timeout in the case of an unsuccessful update!
// Don't hold the JBC node lock throughout the tx, as that // prevents reads and other updates
//information about all columns/formulas in class hierarchy
// this is a situation where the entity id is assigned by a post-insert generator // and was saved outside the transaction forcing it to be delayed
// Currently *not* cachable if autodiscover types is in effect (e.g. "select * ...")
// If the provider was leeching off an existing pool don't close it
//stats
// For implied many-to-many, just add the end join.
// it might still need to apply a collection ordering based on a // many-to-many defined order-by...
//TODO: look at the owning property and check that it  //      isn't lazy (by instrumentation)
//a composite key
// this is a property of the table, which we are updating
// short-circuit(s) // no new elements, the old list contains only Orphans // no old elements, so no Orphans neither
//then by id
// add an entry for this type of entity. // we can be assured that all referenced entities have already // been processed, // so specify that this entity is with the latest batch. // doing the batch number before adding the name to the list is // a faster way to get an accurate number.
// new collections that get found + wrapped // during flush shouldn't be ignored
// this is the exception returned by ReflectHelper.getConstructor() if it cannot // locate an appropriate constructor
// This will add the new from element to the origin.
//tableName = mappings.getNamingStrategy().propertyToTableName( className, path );
//TODO: can we *always* use the "null property" approach for everything?
// collections ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// Read backwards until we read past the first physical sequential // row with the key we are interested in loading
// again, both should be FromElements
//return the id, so we can use it to reset the proxy id //return result;
// if everything went ok, commit the transaction and close the obtained // connection handle...
// we need to step through the rows one row at a time (slow)
// this function has a template -> redirect output and catch the arguments
// NOTE: this assumes something about how propertySelectFragment is implemented by the subclass!
// wrap up any new collections directly referenced by the object // or its components
// Skip 'DISTINCT' and 'ALL', so we return the first expression node.
// if the from-clauses are the same, we can be a little more aggressive in terms of what we reuse
// If this is an implied join in a FROM clause, then use ANSI-style joining, and set the // flag on the FromElement that indicates that it was implied in the FROM clause itself.
// the user specifically supplied insert="true", // which constitutes an illegal combo
// TODO : what amount of significant digits need to be supported here? //      - from the DecimalFormat docs: //          [significant digits] = [minimum integer digits] + [maximum fraction digits]
// ifnonnull
//different nullability rules for pk/fk
"// Note: For object <-> SQL datatype mappings see: //	 Configuration Manager | Advanced | SQL | System DDL Datatype Mappings // //	TBD	registerColumnType(Types.BINARY,        ""binary($1)""); // changed 08-11-2005, jsl"
//TODO: proxies!
//Generators:
// this has been shown to happen occasionally in rare cases // when using a transaction manager + transaction-timeout // where the timeout calls back through Hibernate's // registered transaction synchronization on a separate // "reaping" thread.  In cases where that reaping thread // executes through this block at the same time the main // application thread does we can get into situations where // these CMEs occur.  And though it is not "allowed" per-se, // the end result without handling it specifically is infinite // looping.  So here, we simply break the loop
// return
// checkcast
//actually, this last test is probably unnecessary, since  //beforeCompletion() doesn't get called during rollback
//note that i parameter is now unused (delete it?)
//TODO: to handle concurrent writes correctly, the client should pass in a Lock
// serialization ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
//the entity is not associated with the session, so //try interceptor and unsaved-value
// delete() operations ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// this will throw an error if there's something wrong.
//SQL statements
// dynamic filters specifically for many-to-many inside the collection
//alias may be null //EARLY EXIT
// Handle any filters applied to this collection
// strip the " where "
// We need to seed the version value as part of this bulk insert
//opening paren in new Foo ( ... )
//the user visible aliases, which are unknown to the superclass, //these are not the actual "physical" SQL aliases
//use of a stringbuffer to workaround a JDK bug
// handle the (assumed) valid cases: // #1 - the only valid datetime addition synatx is one or the other is a datetime (but not both)
// array of primitive type // do nothing
// refer to comment in StatefulPersistenceContext.addCollection()
// register resolvers set via Environment property
// the key is the owning entity itself, so get the ID from the key
// should be ok performance-wise to generate new delegate instances for each // request since these are locally stack-scoped.  Besides, it makes the code // much easier to read than the old TransactionHelper stuff...
// The where clause was added to eliminate this statement from Brute Force Searches.
//TODO: move to .sql package!!
// strip table-owner because Informix always returns constraint names as "<table-owner>.<constraint-name>"
//TODO: maybe call it getRowSelection() ?
// try "get"
// get a connection from the pool (thru DriverManager, cfr. Proxool doc)
/////////////////////////////////////////////////////////////////////// // HACK ALERT !!!!!!!!!!!!!!!!!!!!!!!!!!!! // Attempt to work around "ghost" ImpliedFromElements that occasionally // show up between the actual things being joined.  This consistently // occurs from index nodes (at least against many-to-many).  Not sure // if there are other conditions // // Essentially, look-ahead to the next FromElement that actually // writes something to the SQL
// aload_2 // args
// not known!
//strip leading ", "
// synchronized to avoid multi-thread access issues; defined as method synch to avoid // potential deadlock issues due to nature of code.
// TODO: better error message since we actually support composites if names are explicitly listed.
// We call getKeyFromResultSet() here so that we can know the // key value upon which to perform the breaking logic.  However, // it is also then called from getRowFromResultSet() which is certainly // not the most efficient.  But the call here is needed, and there // currently is no other way without refactoring of the doQuery()/getRowFromResultSet() // methods
// *** Sequence methods - start. The RDMS dialect needs these
// Needed the "clazz_" check to work around union-subclasses // TODO : is there a way to tell whether a persister is truly discrim-column based inheritence?
// ugly hack for cases like "elements(foo.bar.collection)" // (multi-part path expression ending in elements or indices)
// The RDMS concat() function only supports 2 parameters
//use the id column alias
// it is a property reference {foo.bar}
// if doc is null, then for whatever reason, the cached file cannot be used...
// Its the listener class name
// just do the regular thing if you can't find the ctor // Your AST must have default ctor to use this.
//PostLoad is needed for EJB3 //TODO: reuse the PostLoadEvent...
// We can't change the TM on a running cache; just check // if the cache has no TM and we're OK with that
// work around that crazy issue where the tree contains // "empty" FromElements (no text); afaict, this is caused // by FromElementFactory.createCollectionJoin()
//null owner ok??
"/*public PropertyProjection project() {		return Projections.property(getPropertyName());	}*/"
//take a snapshot
"//	private final List scalarTypes = new ArrayList(); //	private final List scalarColumnAliases = new ArrayList();"
// join.getKey().setType( new Type( lazz.getIdentifier() ) );
"/**	 * Set a custom entity resolver. This entity resolver must be	 * set before addXXX(misc) call.	 * Default value is {@link org.hibernate.util.DTDEntityResolver}	 *	 * @param entityResolver entity resolver to use	 */"
// If there are no collection fetches, then no further checks are needed
//HSQL has no Blob/Clob support .... but just put these here for now!
//if there is no resulting row, return null
// then dom4j tuplizer, if dom4j representation is available
// we are already processing a dot-structure
// assume we are in an auto-commit state
//real hacky... // used to count the nesting of parentheses
// TODO: bindpropertyresults(alias, returnElem)
// no existing row - do an insert
// construct the cache
// Configurable implementation ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// Otherwise, this is an ordinary value.
// instantiate a new instance
//many-to-many
// check that entity id = requestedId
// warning: can cause a recursive calls! (proxy initialization)
// TODO : would be really nice to cache the spec on the query-def so as to not have to re-calc the hash; // currently not doable though because of the resultset-ref stuff...
"//	private final String[] sqlAliases; //	private final String[] sqlAliasSuffixes;"
// Initial load from JBC
// Pointbase has no known variation of a "SELECT ... FOR UPDATE" syntax...
// Never evict this node
//GENERATE THE SQL:
//EARLY EXIT
// superclass entity-name
//TODO: the i==entitySpan-1 bit depends upon subclass implementation (very bad)
// GENERATOR
// --Commented out by Inspection (12/11/04 10:56 AM): int getWarningCount();
//memory optimization
// Don't really know all the codes required to adequately decipher returned jdbc exceptions here. // simply allow the failure to be eaten and the subsequent insert-selects/deletes should fail
// ALIASES
// ROLENAME
// TODO: this is a bit of copy/paste from IndexedCollection.createPrimaryKey()
//starts with 1, implicitly
//TODO: get SQL rendering out of this package!
// properties of this class, including inherited properties
"//	public static JDBCException newJDBCException(String string, SQLException root, String sql) { //		string = string + "" ["" + sql + ']'; //		log.error(string, root); //		logExceptions(root); //		return new JDBCException(string, root, sql); //	} // //	public static JDBCException newJDBCException(String string, SQLException root) { //		log.error(string, root); //		logExceptions(root); //		return new JDBCException(string, root); //	}"
// if a ThreadLocalSessionContext-bound session happens to get // serialized, to be completely correct, we need to make sure // that unbinding of that session occurs.
// pass control along to the rest of the processing chain
//JNDI + Serialization:
// moved up from AbstractEntityPersister ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// Use the token as an identifier.
//use the id passed in
//write(); -- doesn't
// Get the names of the columns used to link between the collection // owner and the collection elements.
// Fetch embedded identifiers propertynames from the "virtual" identifier component
//ie. a many-to-many
// Show the modified AST.
// turn hibernate.c3p0.* into c3p0.*, so c3p0 // gets a chance to see all hibernate.c3p0.*
// break the outer loop !!!
// should *not* need to grow beyond the size of the total number of columns in the rs
// native identifier generatiion ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// check to see if the connection is in auto-commit  // mode (no connection means aggressive connection // release outside a JTA transaction context, so MUST // be autocommit mode)
// if the types report logical equivalence, return true...
// now, any collections that are initialized // inside this block do not get updated - they // are ignored until the next flush
//render the SQL
//extra information about the element type
// DYNAMIC INSERT
//check basic level one nullablilty
// initialize the Set of queried identifier spaces (ie. tables)
//for MySQL
//deduplicate unique constraints sharing the same columns //this is needed by Hibernate Annotations since it creates automagically // unique constraints for the user
// Cache impl ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// not absolutely necessary, but does help with aggressive release
// otherwise, a trim-specification and/or a trim-character // have been specified;  we need to decide which options // are present and "do the right thing" // should leading trim-characters be trimmed? // should trailing trim-characters be trimmed? // the trim-character (what is to be trimmed off?) // the trim-source (from where should it be trimmed?)
//give the Interceptor a chance to modify property values
//no need to check laziness, dirty checking handles that
// aggregate functions shouldn't be registered, right? //registerFunction( "list", new StandardSQLFunction("list",Hibernate.STRING) ); // stopped on $list
// add the current fragment to the FILTERS node
// TODO: Figure out a better way to get the FROM elements in a proper tree structure. // If this is not the destination of a many-to-many, add it as a child of the origin.
// the path expression ends at the ]
//otherwise return the "hydrated" state (ie. associations are not resolved)
//private final Map propertyTableNumbersByName = new HashMap();
//index += getPropertyColumnSpan( i ); //TODO:  this is kinda slow...
//ie. e.status==DELETED
// add temp entry so that the next step is circular-reference // safe - only needed because some types don't take proper // advantage of two-phase-load (esp. components)
// Note: this simply constructs a "raw" SQL_TOKEN representing the // where fragment and injects this into the tree.  This "works"; // however it is probably not the best long-term solution. // // At some point we probably want to apply an additional grammar to // properly tokenize this where fragment into constituent parts // focused on the operators embedded within the fragment.
// The rest only matters for optimistic locking, where we // need to establish the proper data version on the region root
// TODO : perhaps we should additionally require that the incoming entity // version be equivalent to the defined unsaved-value?
// short cut check...
// let the persister inspect the instance to decide
// Don't include sub-classes for implied collection joins or subquery joins.
"//		Iterator iter = extendsQueue.iterator();"
//propertyTableNumbersByName.put( prop.getName(), join );
// override on some subclasses
// remove the current element from insertions. It will be added back later.
// if it is an initialized proxy, let cascade // handle it later on
// CHECK
//types
// now look up the object we are really interested in! // (this lets us correctly handle proxies and multi-row // or multi-column queries)
//following doesn't handle (null, not null) but unnecessary //since this would mean all rows
//all joins join to the pk of the driving table
//cascade to current collection elements
// we *always* assume an instance with a null // identifier or no identifier property is unsaved!
// this property belongs to the table and it is not specifically // excluded from optimistic locking by optimistic-lock="false"
// more specifically : "datetime [op] ?" //      1) if the operator is MINUS, we really cannot determine //          the expected type as either another datetime or //          numeric would be valid //      2) if the operator is PLUS, the param needs to be of //          some numeric type
// check two "adjecent" nodes at the top of the from-clause tree
/*&& !indexIsFormula*/
//we can inner join to superclass tables (the row MUST be there) //we can never inner join to subclass tables
// According to both the ANSI-SQL and JPA specs, trim takes a variable number of parameters between 1 and 4. // at least one paramer (trimSource) is required.  From the SQL spec: // // <trim function> ::= //      TRIM <left paren> <trim operands> <right paren> // // <trim operands> ::= //      [ [ <trim specification> ] [ <trim character> ] FROM ] <trim source> // // <trim specification> ::= //      LEADING //      | TRAILING //      | BOTH // // If <trim specification> is omitted, BOTH is assumed. // If <trim character> is omitted, space is assumed
// TODO : keep seperate notions of QT[] here for shallow/non-shallow queries...
// The property is another class..
// TODO: here is why we need to make bytecode provider global :( // TODO : again, fix this after HHH-1907 is complete
//TODO: We probably should have a StatisticsNotPublishedException, to make it clean
//Query parser settings:
// See if we had a 2nd invalidation from the same initial // preinvalidation timestamp. If so, only increment // if the new current value is an increase
// (EQ NULL b) => (IS_NULL b)
// todo : potentially look at optimizing these two arrays
